Station,Date,Lat,Long,precip_mm,Tmin_C,Tmax_C
USC00415766,4/3/1903,33.23639,-96.64194,0,11.7,20
USC00415766,4/4/1903,33.23639,-96.64194,0,1.1,21.1
USC00415766,4/5/1903,33.23639,-96.64194,0,7.2,19.4
USC00415766,4/6/1903,33.23639,-96.64194,0,13.3,23.9
USC00415766,4/7/1903,33.23639,-96.64194,0,8.3,29.4
USC00415766,4/8/1903,33.23639,-96.64194,0,12.8,30
USC00415766,4/9/1903,33.23639,-96.64194,0,18.9,26.7
USC00415766,4/10/1903,33.23639,-96.64194,10.2,17.8,23.9
USC00415766,4/11/1903,33.23639,-96.64194,0.3,18.9,22.8
USC00415766,4/12/1903,33.23639,-96.64194,0,21.1,27.2
USC00415766,4/13/1903,33.23639,-96.64194,0,8.9,15.6
USC00415766,4/14/1903,33.23639,-96.64194,0,3.9,18.3
USC00415766,4/15/1903,33.23639,-96.64194,0,2.8,19.4
USC00415766,4/16/1903,33.23639,-96.64194,0,2.8,21.1
USC00415766,4/17/1903,33.23639,-96.64194,0,6.7,19.4
USC00415766,4/18/1903,33.23639,-96.64194,0,13.3,20.6
USC00415766,4/19/1903,33.23639,-96.64194,0,12.2,22.2
USC00415766,4/20/1903,33.23639,-96.64194,0,12.2,23.3
USC00415766,4/21/1903,33.23639,-96.64194,0,8.3,23.3
USC00415766,4/22/1903,33.23639,-96.64194,0,10,22.8
USC00415766,4/23/1903,33.23639,-96.64194,0,4.4,28.3
USC00415766,4/24/1903,33.23639,-96.64194,0,5.6,27.8
USC00415766,4/25/1903,33.23639,-96.64194,0,11.7,18.3
USC00415766,4/26/1903,33.23639,-96.64194,0,3.3,23.3
USC00415766,4/27/1903,33.23639,-96.64194,0,8.3,22.2
USC00415766,4/28/1903,33.23639,-96.64194,0,11.7,24.4
USC00415766,4/29/1903,33.23639,-96.64194,0,15.6,23.9
USC00415766,4/30/1903,33.23639,-96.64194,0,1.7,15
USC00415766,5/1/1903,33.23639,-96.64194,0,-2.8,20
USC00415766,5/2/1903,33.23639,-96.64194,0,6.7,21.1
USC00415766,5/3/1903,33.23639,-96.64194,0,7.8,23.3
USC00415766,5/4/1903,33.23639,-96.64194,0,10.6,27.8
USC00415766,5/5/1903,33.23639,-96.64194,0,16.7,26.7
USC00415766,5/6/1903,33.23639,-96.64194,0,13.3,25.6
USC00415766,5/7/1903,33.23639,-96.64194,0,13.3,25
USC00415766,5/8/1903,33.23639,-96.64194,0,16.1,24.4
USC00415766,5/9/1903,33.23639,-96.64194,0,11.1,25.6
USC00415766,5/10/1903,33.23639,-96.64194,0,15.6,23.3
USC00415766,5/11/1903,33.23639,-96.64194,18.3,14.4,23.3
USC00415766,5/12/1903,33.23639,-96.64194,1,11.1,17.2
USC00415766,5/13/1903,33.23639,-96.64194,0,12.2,22.2
USC00415766,5/14/1903,33.23639,-96.64194,1.5,13.3,22.2
USC00415766,5/15/1903,33.23639,-96.64194,0,12.2,26.1
USC00415766,5/16/1903,33.23639,-96.64194,0,13.3,25.6
USC00415766,5/17/1903,33.23639,-96.64194,0,0,0
USC00415766,5/18/1903,33.23639,-96.64194,0,0,0
USC00415766,5/19/1903,33.23639,-96.64194,0,0,0
USC00415766,5/20/1903,33.23639,-96.64194,0,16.1,28.3
USC00415766,5/21/1903,33.23639,-96.64194,0,17.2,29.4
USC00415766,5/22/1903,33.23639,-96.64194,0,17.8,27.8
USC00415766,5/23/1903,33.23639,-96.64194,0,17.2,30.6
USC00415766,5/24/1903,33.23639,-96.64194,0,15.6,29.4
USC00415766,5/25/1903,33.23639,-96.64194,0,16.7,31.1
USC00415766,5/26/1903,33.23639,-96.64194,0,18.9,30
USC00415766,5/27/1903,33.23639,-96.64194,0,21.1,32.8
USC00415766,5/28/1903,33.23639,-96.64194,30.5,17.8,30
USC00415766,5/29/1903,33.23639,-96.64194,0,16.1,31.1
USC00415766,5/30/1903,33.23639,-96.64194,0,15,25.6
USC00415766,5/31/1903,33.23639,-96.64194,0,12.2,18.3
USC00415766,6/1/1903,33.23639,-96.64194,0,6.7,22.8
USC00415766,6/2/1903,33.23639,-96.64194,0,8.3,24.4
