"","site_no","DroughtDeficit_fixed10_MMD_tau","DroughtDeficit_fixed20_MMD_tau","DroughtDeficit_fixed2_MMD_tau","DroughtDeficit_fixed30_MMD_tau","DroughtDeficit_fixed5_MMD_tau","DroughtDeficit_variable10_MMD_tau","DroughtDeficit_variable20_MMD_tau","DroughtDeficit_variable2_MMD_tau","DroughtDeficit_variable30_MMD_tau","DroughtDeficit_variable5_MMD_tau","DroughtDuration_fixed10_days_tau","DroughtDuration_fixed20_days_tau","DroughtDuration_fixed2_days_tau","DroughtDuration_fixed30_days_tau","DroughtDuration_fixed5_days_tau","DroughtDuration_variable10_days_tau","DroughtDuration_variable20_days_tau","DroughtDuration_variable2_days_tau","DroughtDuration_variable30_days_tau","DroughtDuration_variable5_days_tau","Max_7DayStreamflow_Fall_SON_MMD_tau","Max_7DayStreamflow_MMD_tau","Max_7DayStreamflow_Spring_MAM_MMD_tau","Max_7DayStreamflow_Summer_JJA_MMD_tau","Max_7DayStreamflow_Winter_DJF_MMD_tau","MeanAnnualQ_MMD_tau","MeanFall_SON_MMD_tau","MeanSpring_MAM_MMD_tau","MeanSummer_JJA_MMD_tau","MeanWinter_DJF_MMD_tau","Min_7DayStreamflow_Fall_SON_MMD_tau","Min_7DayStreamflow_MMD_tau","Min_7DayStreamflow_Spring_MAM_MMD_tau","Min_7DayStreamflow_Summer_JJA_MMD_tau","Min_7DayStreamflow_Winter_DJF_MMD_tau","Year_tau","DroughtDeficit_fixed10_MMD_p_value","DroughtDeficit_fixed20_MMD_p_value","DroughtDeficit_fixed2_MMD_p_value","DroughtDeficit_fixed30_MMD_p_value","DroughtDeficit_fixed5_MMD_p_value","DroughtDeficit_variable10_MMD_p_value","DroughtDeficit_variable20_MMD_p_value","DroughtDeficit_variable2_MMD_p_value","DroughtDeficit_variable30_MMD_p_value","DroughtDeficit_variable5_MMD_p_value","DroughtDuration_fixed10_days_p_value","DroughtDuration_fixed20_days_p_value","DroughtDuration_fixed2_days_p_value","DroughtDuration_fixed30_days_p_value","DroughtDuration_fixed5_days_p_value","DroughtDuration_variable10_days_p_value","DroughtDuration_variable20_days_p_value","DroughtDuration_variable2_days_p_value","DroughtDuration_variable30_days_p_value","DroughtDuration_variable5_days_p_value","Max_7DayStreamflow_Fall_SON_MMD_p_value","Max_7DayStreamflow_MMD_p_value","Max_7DayStreamflow_Spring_MAM_MMD_p_value","Max_7DayStreamflow_Summer_JJA_MMD_p_value","Max_7DayStreamflow_Winter_DJF_MMD_p_value","MeanAnnualQ_MMD_p_value","MeanFall_SON_MMD_p_value","MeanSpring_MAM_MMD_p_value","MeanSummer_JJA_MMD_p_value","MeanWinter_DJF_MMD_p_value","Min_7DayStreamflow_Fall_SON_MMD_p_value","Min_7DayStreamflow_MMD_p_value","Min_7DayStreamflow_Spring_MAM_MMD_p_value","Min_7DayStreamflow_Summer_JJA_MMD_p_value","Min_7DayStreamflow_Winter_DJF_MMD_p_value","Year_p_value","station_name","station_lat","station_lon"
"1","06821500",1,0.359788715839386,1,0.465494304895401,1,0.375240921974182,0.406462728977203,0.170913115143776,0.453249335289001,0.319309949874878,0.423641592264175,0.413402050733566,0.423641592264175,0.516663432121277,0.423641592264175,0.381219446659088,0.371891558170319,0.423641592264175,0.475587397813797,0.421485632658005,-0.531749904155731,-0.616236746311188,-0.60924643278122,-0.54890787601471,-0.723092496395111,-0.672784745693207,-0.54723846912384,-0.638392150402069,-0.485203355550766,-0.705301940441132,-0.408810287714005,-0.268086284399033,-0.578323066234589,0.00594197260215878,-0.563071131706238,0.999999940395355,1,5.96046447753906e-06,1,0,1,7.27176666259766e-06,2.38418579101562e-07,0.0667145252227783,0,0.000414252281188965,2.38418579101562e-07,1.19209289550781e-07,2.38418579101562e-07,0,2.38418579101562e-07,2.14576721191406e-06,1.43051147460938e-06,2.38418579101562e-07,0,2.38418579101562e-07,3.12766978115275e-12,6.21422810077361e-16,1.35276550923639e-15,6.01445108994181e-13,4.52898268258332e-21,1.05938923565075e-18,7.0059501819722e-13,5.48165775970644e-17,1.95292365612332e-10,4.56592841383732e-20,2.83834708625363e-07,0.000999323558062315,7.19646171538739e-14,0.94298267364502,5.92048545605683e-13,0,"Arikaree River nr Haigler, Nebr.",40.0178611,-101.9963056
"2","06823000",0.457586139440536,0.418987303972244,0.54521781206131,0.424050599336624,0.493403881788254,0.496207505464554,0.492051362991333,0.437755674123764,0.517017602920532,0.459366977214813,0.405301779508591,0.375635713338852,0.546775162220001,0.404078453779221,0.482315301895142,0.539739668369293,0.521328926086426,0.492802321910858,0.547995030879974,0.497945308685303,-0.544015288352966,-0.478873252868652,-0.46183106303215,-0.447751820087433,-0.469190835952759,-0.571518957614899,-0.433544278144836,-0.460759460926056,-0.409493625164032,-0.52341765165329,-0.405443906784058,-0.496121615171432,-0.270064920186996,-0.466213017702103,-0.432826727628708,0.999999940395355,0,0,0,0,0,0,0,1.19209289550781e-07,0,0,1.19209289550781e-07,8.34465026855469e-07,0,1.19209289550781e-07,0,0,0,0,0,0,9.76340644616436e-13,3.34451938366342e-10,1.41563749611606e-09,4.3385348647007e-09,7.78394348976974e-10,6.42251212607491e-14,1.28736852289535e-08,1.49378598379712e-09,7.78772673015737e-08,6.52648378049459e-12,1.04906213493905e-07,7.69887278928572e-11,0.000400333141442388,9.61244306374454e-10,1.41547573662137e-08,0,"North Fork Republican River at Colorado-Nebraska",40.06943516,-102.0512979
"3","06823500",0.509216904640198,0.479239851236343,1,0.577805936336517,1,0.505745708942413,0.604794561862946,0.467729955911636,0.664351224899292,0.472066402435303,0.434659600257874,0.536095082759857,0.564813494682312,0.686342358589172,0.564813494682312,0.652444183826447,0.693994343280792,0.586214601993561,0.725880265235901,0.613735496997833,-0.761678695678711,-0.641760349273682,-0.631412386894226,-0.514719843864441,-0.737277567386627,-0.807594895362854,-0.721518933773041,-0.712025284767151,-0.51202529668808,-0.837341725826263,-0.522864282131195,-0.696152746677399,-0.373257607221603,-0.630689382553101,-0.682077348232269,0.999999940395355,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.71602742870027e-23,3.8439162474678e-17,1.22581324342332e-16,1.4638196904615e-11,4.6002515826917e-22,0,2.83954968612955e-21,9.29059537216297e-21,1.84123116059309e-11,0,2.04436901435345e-11,2.85736572414439e-17,1.00629597454827e-06,1.29487180255527e-14,3.7095036062093e-19,0,"Buffalo Creek near Haigler, Nebr.",40.03944444,-101.8666667
"4","06824000",0.637876510620117,0.661821842193604,0.503867983818054,0.726882219314575,0.532663881778717,0.621619403362274,0.659888088703156,0.542249023914337,0.69621205329895,0.538217902183533,0.647047877311707,0.670662641525269,0.520197808742523,0.723856151103973,0.543111681938171,0.631887018680573,0.664933741092682,0.548848450183868,0.689807653427124,0.549669325351715,-0.566485822200775,-0.31482195854187,-0.440002202987671,-0.421553581953049,-0.550913035869598,-0.732278406620026,-0.704225361347198,-0.657594859600067,-0.655063211917877,-0.688400089740753,-0.66031539440155,-0.660961508750916,-0.656302213668823,-0.698177993297577,-0.648050844669342,0.999999940395355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.30401074595506e-13,3.8212714571273e-05,8.64030980096686e-09,3.34997274364923e-08,6.80753576339649e-13,7.27361864408059e-22,2.46383871852203e-20,6.17640750065228e-18,8.25451887790853e-18,1.68078796546651e-19,6.20374995580022e-18,4.74512778776504e-18,8.75625685898115e-18,6.15059579492666e-20,2.23016462735442e-17,0,"Rock Creek at Parks, Nebr.",40.0422222,-101.7280556
"5","06827500",1,1,1,1,1,0.358936220407486,0.405371367931366,1,0.400742173194885,1,0.383693277835846,0.383693277835846,0.383693277835846,0.383693277835846,0.383693277835846,0.383693277835846,0.388154834508896,0.383693277835846,0.401404708623886,0.383693277835846,-0.474509447813034,-0.625219821929932,-0.601877927780151,-0.566218852996826,-0.604727566242218,-0.663919389247894,-0.438688427209854,-0.644017934799194,-0.507315874099731,-0.501117408275604,-0.246836513280869,-0.0883271619677544,-0.453439354896545,-0.0814221277832985,-0.253942340612411,0.999999940395355,1,1,1,1,1,9.02414321899414e-05,1.31130218505859e-06,1,2.38418579101562e-07,1,5.96046447753906e-07,5.96046447753906e-07,5.96046447753906e-07,5.96046447753906e-07,5.96046447753906e-07,5.96046447753906e-07,4.76837158203125e-07,5.96046447753906e-07,1.19209289550781e-07,5.96046447753906e-07,1.9355357316897e-09,2.68516538180546e-16,3.48794509273046e-15,1.2279520662014e-13,5.03100724735849e-15,3.50885342274533e-18,3.0758407376652e-08,3.61376449168125e-17,3.34718398831146e-11,8.7238563595271e-11,0.00538889784365892,0.331098884344101,5.02045649497518e-09,0.364005744457245,0.00143823039252311,0,"South Fork Republican River near Benkelman, Nebr.",40.01027778,-101.5419444
"6","06828500",1,0.207806393504143,1,0.31398668885231,1,0.273094952106476,0.366143554449081,0.193975418806076,0.437667578458786,0.281346052885056,0.192647084593773,0.228045836091042,0.192647084593773,0.379863679409027,0.192647084593773,0.267461568117142,0.361244678497314,0.192995354533195,0.450162678956985,0.205766186118126,-0.548228204250336,-0.52435314655304,-0.471080660820007,-0.455859959125519,-0.561370134353638,-0.617199420928955,-0.462890654802322,-0.580669701099396,-0.391171991825104,-0.566210031509399,-0.181323185563087,-0.0983699560165405,-0.291151285171509,0.00795480702072382,-0.251101225614548,1,1,0.0100114345550537,1,8.70227813720703e-05,1,0.00151324272155762,6.91413879394531e-06,0.0404824018478394,0,0.00206255912780762,0.0174235105514526,0.00474798679351807,0.0174235105514526,2.14576721191406e-06,0.0174235105514526,0.00088191032409668,6.55651092529297e-06,0.0172004699707031,0,0.0107475519180298,7.65978079575458e-12,5.46303592641184e-11,3.83841625151149e-09,1.19444782953337e-08,2.22243599391769e-12,1.16560381748583e-14,7.7499970885242e-09,3.7982309897093e-13,1.00365946309466e-06,1.42505245884911e-12,0.0414769873023033,0.288304358720779,0.000274266436463222,0.934404134750366,0.00177360966335982,0,"Republican River at Stratton, Nebr.",40.14055556,-101.2297222
"7","06834000",0.579577565193176,0.688887417316437,0.449173271656036,0.726833879947662,0.542517840862274,0.536349892616272,0.633903920650482,0.44587242603302,0.70502108335495,0.475278168916702,0.61049211025238,0.731792032718658,0.448778748512268,0.757279574871063,0.552063643932343,0.580544590950012,0.679122149944305,0.45385879278183,0.742337882518768,0.504200220108032,-0.66032350063324,-0.592804193496704,-0.48380982875824,-0.581652104854584,-0.688250184059143,-0.786149144172668,-0.735159814357758,-0.628614902496338,-0.620243549346924,-0.765892744064331,-0.668951213359833,-0.653465509414673,-0.569850265979767,-0.675300240516663,-0.558476567268372,1,0,0,1.19209289550781e-06,0,0,0,0,4.76837158203125e-07,0,0,0,0,1.19209289550781e-06,0,0,0,0,3.57627868652344e-07,0,0,1.4815185935651e-16,1.25872863564538e-13,1.50510703900153e-09,3.53540249376297e-13,7.88401310101745e-18,8.01828263889907e-23,3.71275106559539e-20,3.76186771281774e-15,8.6383672567511e-15,9.9637893262749e-22,6.11700393855209e-17,3.14120792060718e-16,1.11337165615427e-12,3.19136041054186e-17,3.00797147606557e-12,0,"Frenchman Creek at Palisade, Nebr.",40.35166667,-101.1236111
"8","06835500",0.529395878314972,0.560120642185211,0.297706246376038,0.587974667549133,0.397330224514008,0.608727037906647,0.688585579395294,0.392535358667374,0.73045939207077,0.501194536685944,0.553215861320496,0.616235971450806,0.319237738847733,0.647218704223633,0.408765554428101,0.622220158576965,0.681716442108154,0.414292544126511,0.744300007820129,0.514540135860443,-0.711821496486664,-0.545569598674774,-0.616431891918182,-0.438360512256622,-0.770107805728912,-0.73924046754837,-0.686075925827026,-0.651052355766296,-0.489873379468918,-0.829113841056824,-0.41702675819397,-0.523276567459106,-0.40570080280304,-0.504764437675476,-0.640696883201599,0.999999940395355,0,0,0.00106620788574219,0,3.09944152832031e-06,0,0,1.01327896118164e-05,0,0,0,0,0.000377535820007324,0,1.31130218505859e-06,0,0,2.98023223876953e-06,0,0,9.6551219127703e-21,8.1574439043941e-13,6.20713525863154e-16,8.91893670029731e-09,0,2.9815819590347e-22,2.19324819768116e-19,1.31849934391186e-17,1.2992207309992e-10,0,4.94997038913425e-08,7.8407133216607e-12,1.04782863274977e-07,4.01132738137022e-11,4.42354320937963e-17,0,"Frenchman Creek at Culbertson, Nebr.",40.2347215,-100.8782139
"9","06836500",-0.20033472776413,-0.105972334742546,-0.240128621459007,-0.124306835234165,-0.326556265354156,-0.233333855867386,-0.0922294035553932,-0.326556265354156,-0.0307653788477182,-0.318749248981476,-0.207052662968636,-0.110430873930454,-0.240128621459007,-0.0729066953063011,-0.297549456357956,-0.240031242370605,-0.0995831415057182,-0.356446444988251,-0.0240950416773558,-0.304149240255356,-0.191762089729309,-0.412850320339203,-0.275260746479034,-0.490088850259781,-0.0714652165770531,-0.362952828407288,-0.118933700025082,-0.0352076552808285,-0.434723168611526,-0.00888585112988949,-0.00547946337610483,0.0801922157406807,0.208383366465569,-0.037296861410141,0.112175129354,1,0.0228385608643293,0.210429593920708,0.00870582833886147,0.133238136768341,0.000311159732518718,0.007035325281322,0.268700569868088,0.000311159732518718,0.702615201473236,0.000362384627806023,0.0178851671516895,0.191899374127388,0.00870582833886147,0.378460139036179,0.000912492570932955,0.0055727381259203,0.232332587242126,7.89331825217232e-05,0.766097724437714,0.000641064194496721,0.0137750869616866,1.10375779627248e-07,0.000405710423365235,2.92365021081764e-10,0.360257595777512,3.06219271806185e-06,0.126956954598427,0.653697371482849,2.2674544908341e-08,0.912442922592163,0.947390615940094,0.305345773696899,0.00748705863952637,0.634749591350555,0.150348424911499,0,"Driftwood Creek near McCook, Nebr.",40.14583655,-100.6732083
"10","06838000",0.550800383090973,0.607915222644806,0.491637527942657,0.64788007736206,0.44934543967247,0.542154252529144,0.589127004146576,0.455217123031616,0.627859532833099,0.526939034461975,0.574548125267029,0.634142160415649,0.503172338008881,0.654316544532776,0.456841826438904,0.549426794052124,0.594769656658173,0.474412947893143,0.624824523925781,0.538847744464874,-0.518682777881622,-0.438993513584137,-0.473717629909515,-0.50672572851181,-0.589613795280457,-0.605696141719818,-0.625949323177338,-0.50886070728302,-0.561392366886139,-0.606961965560913,-0.546605467796326,-0.533080101013184,-0.465970247983932,-0.591736614704132,-0.548622369766235,0.999999940395355,0,0,0,0,1.19209289550781e-07,0,0,1.19209289550781e-07,0,0,0,0,0,0,0,0,0,0,0,0,1.03566634435115e-11,8.490904868097e-09,5.25029186793091e-10,2.98078367544363e-11,1.05791950246186e-14,1.89746836305575e-15,2.14353175187048e-16,2.44644911967518e-11,1.75538579440422e-13,1.65909116296264e-15,7.44467042266411e-13,2.70188971022989e-12,9.86287052029411e-10,8.41890694934814e-15,6.38053466398697e-13,0,"Red Willow Creek near Red Willow, Nebr.",40.2347222,-100.5008333
