# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://waterdata.usgs.gov/provisional-data-statement/
#
# Contact:   gs-w_waterdata_support@usgs.gov
# retrieved: 2024-09-17 15:56:16 EDT       (sdww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 06846300 BEAVER C NR HERNDON, KS
# -----------------------------------------------------------------------------------
#
# Data provided for site 06846300
#            TS   parameter     statistic     Description
#         54700       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
# 
agency_cd	site_no	datetime	54700_00060_00003	54700_00060_00003_cd
5s	15s	20d	14n	10s
USGS	06846300	1962-10-01	9.00	A
USGS	06846300	1962-10-02	8.50	A
USGS	06846300	1962-10-03	8.00	A
USGS	06846300	1962-10-04	7.50	A
USGS	06846300	1962-10-05	7.50	A
USGS	06846300	1962-10-06	8.00	A
USGS	06846300	1962-10-07	8.00	A
USGS	06846300	1962-10-08	8.00	A
USGS	06846300	1962-10-09	8.00	A
USGS	06846300	1962-10-10	8.00	A
USGS	06846300	1962-10-11	7.90	A
USGS	06846300	1962-10-12	7.30	A
USGS	06846300	1962-10-13	7.30	A
USGS	06846300	1962-10-14	7.30	A
USGS	06846300	1962-10-15	6.70	A
USGS	06846300	1962-10-16	7.00	A
USGS	06846300	1962-10-17	6.70	A
USGS	06846300	1962-10-18	6.70	A
USGS	06846300	1962-10-19	6.70	A
USGS	06846300	1962-10-20	7.90	A
USGS	06846300	1962-10-21	15.0	A
USGS	06846300	1962-10-22	11.0	A
USGS	06846300	1962-10-23	9.30	A
USGS	06846300	1962-10-24	8.60	A
USGS	06846300	1962-10-25	8.90	A
USGS	06846300	1962-10-26	8.30	A
USGS	06846300	1962-10-27	8.30	A
USGS	06846300	1962-10-28	8.30	A
USGS	06846300	1962-10-29	8.30	A
USGS	06846300	1962-10-30	8.30	A
USGS	06846300	1962-10-31	8.30	A
USGS	06846300	1962-11-01	7.60	A
USGS	06846300	1962-11-02	7.60	A
USGS	06846300	1962-11-03	7.60	A
USGS	06846300	1962-11-04	9.30	A
USGS	06846300	1962-11-05	8.30	A
USGS	06846300	1962-11-06	7.60	A
USGS	06846300	1962-11-07	7.60	A
USGS	06846300	1962-11-08	7.60	A
USGS	06846300	1962-11-09	7.60	A
USGS	06846300	1962-11-10	7.60	A
USGS	06846300	1962-11-11	8.30	A
USGS	06846300	1962-11-12	8.30	A
USGS	06846300	1962-11-13	8.30	A
USGS	06846300	1962-11-14	8.90	A
USGS	06846300	1962-11-15	8.90	A
USGS	06846300	1962-11-16	9.30	A
USGS	06846300	1962-11-17	10.0	A
USGS	06846300	1962-11-18	10.0	A
USGS	06846300	1962-11-19	10.0	A
USGS	06846300	1962-11-20	10.0	A
USGS	06846300	1962-11-21	10.0	A
USGS	06846300	1962-11-22	10.0	A
USGS	06846300	1962-11-23	9.70	A
USGS	06846300	1962-11-24	9.70	A
USGS	06846300	1962-11-25	9.70	A
USGS	06846300	1962-11-26	9.70	A
USGS	06846300	1962-11-27	10.0	A
USGS	06846300	1962-11-28	11.0	A
USGS	06846300	1962-11-29	9.70	A
USGS	06846300	1962-11-30	12.0	A
USGS	06846300	1962-12-01	11.0	A
USGS	06846300	1962-12-02	16.0	A
USGS	06846300	1962-12-03	11.0	A
USGS	06846300	1962-12-04	10.0	A
USGS	06846300	1962-12-05	10.0	A
USGS	06846300	1962-12-06	9.70	A
USGS	06846300	1962-12-07	9.70	A
USGS	06846300	1962-12-08	9.70	A
USGS	06846300	1962-12-09	10.0	A
USGS	06846300	1962-12-10	9.00	A
USGS	06846300	1962-12-11	7.00	A
USGS	06846300	1962-12-12	6.50	A
USGS	06846300	1962-12-13	8.00	A
USGS	06846300	1962-12-14	9.00	A
USGS	06846300	1962-12-15	14.0	A
USGS	06846300	1962-12-16	17.0	A
USGS	06846300	1962-12-17	10.0	A
USGS	06846300	1962-12-18	12.0	A
USGS	06846300	1962-12-19	11.0	A
USGS	06846300	1962-12-20	12.0	A
USGS	06846300	1962-12-21	12.0	A
USGS	06846300	1962-12-22	10.0	A
USGS	06846300	1962-12-23	8.30	A
USGS	06846300	1962-12-24	7.00	A
USGS	06846300	1962-12-25	6.00	A
USGS	06846300	1962-12-26	5.50	A
USGS	06846300	1962-12-27	6.00	A
USGS	06846300	1962-12-28	6.50	A
USGS	06846300	1962-12-29	7.00	A
USGS	06846300	1962-12-30	7.50	A
USGS	06846300	1962-12-31	8.00	A
USGS	06846300	1963-01-01	8.50	A
USGS	06846300	1963-01-02	9.00	A
USGS	06846300	1963-01-03	10.0	A
USGS	06846300	1963-01-04	10.0	A
USGS	06846300	1963-01-05	8.00	A
USGS	06846300	1963-01-06	9.00	A
USGS	06846300	1963-01-07	10.0	A
USGS	06846300	1963-01-08	11.0	A
USGS	06846300	1963-01-09	10.0	A
USGS	06846300	1963-01-10	8.00	A
USGS	06846300	1963-01-11	5.50	A
USGS	06846300	1963-01-12	4.50	A
USGS	06846300	1963-01-13	5.50	A
USGS	06846300	1963-01-14	6.50	A
USGS	06846300	1963-01-15	7.50	A
USGS	06846300	1963-01-16	6.50	A
USGS	06846300	1963-01-17	5.50	A
USGS	06846300	1963-01-18	4.50	A
USGS	06846300	1963-01-19	4.00	A
USGS	06846300	1963-01-20	5.00	A
USGS	06846300	1963-01-21	6.00	A
USGS	06846300	1963-01-22	5.50	A
USGS	06846300	1963-01-23	5.50	A
USGS	06846300	1963-01-24	6.00	A
USGS	06846300	1963-01-25	6.00	A
USGS	06846300	1963-01-26	5.50	A
USGS	06846300	1963-01-27	5.00	A
USGS	06846300	1963-01-28	5.00	A
USGS	06846300	1963-01-29	5.00	A
USGS	06846300	1963-01-30	5.50	A
USGS	06846300	1963-01-31	7.00	A
USGS	06846300	1963-02-01	30.0	A
USGS	06846300	1963-02-02	90.0	A
USGS	06846300	1963-02-03	80.0	A
USGS	06846300	1963-02-04	50.0	A
USGS	06846300	1963-02-05	40.0	A
USGS	06846300	1963-02-06	45.0	A
USGS	06846300	1963-02-07	30.0	A
USGS	06846300	1963-02-08	25.0	A
USGS	06846300	1963-02-09	20.0	A
USGS	06846300	1963-02-10	15.0	A
USGS	06846300	1963-02-11	10.0	A
USGS	06846300	1963-02-12	9.00	A
USGS	06846300	1963-02-13	10.0	A
USGS	06846300	1963-02-14	11.0	A
USGS	06846300	1963-02-15	12.0	A
USGS	06846300	1963-02-16	13.0	A
USGS	06846300	1963-02-17	14.0	A
USGS	06846300	1963-02-18	15.0	A
USGS	06846300	1963-02-19	15.0	A
USGS	06846300	1963-02-20	14.0	A
USGS	06846300	1963-02-21	12.0	A
USGS	06846300	1963-02-22	14.0	A
USGS	06846300	1963-02-23	16.0	A
USGS	06846300	1963-02-24	18.0	A
USGS	06846300	1963-02-25	17.0	A
USGS	06846300	1963-02-26	17.0	A
USGS	06846300	1963-02-27	16.0	A
USGS	06846300	1963-02-28	16.0	A
USGS	06846300	1963-03-01	16.0	A
USGS	06846300	1963-03-02	16.0	A
USGS	06846300	1963-03-03	16.0	A
USGS	06846300	1963-03-04	16.0	A
USGS	06846300	1963-03-05	14.0	A
USGS	06846300	1963-03-06	13.0	A
USGS	06846300	1963-03-07	12.0	A
USGS	06846300	1963-03-08	12.0	A
USGS	06846300	1963-03-09	16.0	A
USGS	06846300	1963-03-10	16.0	A
USGS	06846300	1963-03-11	18.0	A
USGS	06846300	1963-03-12	22.0	A
USGS	06846300	1963-03-13	26.0	A
USGS	06846300	1963-03-14	22.0	A
USGS	06846300	1963-03-15	23.0	A
USGS	06846300	1963-03-16	25.0	A
USGS	06846300	1963-03-17	26.0	A
USGS	06846300	1963-03-18	28.0	A
USGS	06846300	1963-03-19	29.0	A
USGS	06846300	1963-03-20	28.0	A
USGS	06846300	1963-03-21	28.0	A
USGS	06846300	1963-03-22	28.0	A
USGS	06846300	1963-03-23	27.0	A
USGS	06846300	1963-03-24	26.0	A
